2022-02-27 15:14:39,256 [main] INFO  -[AnnotationConfigContextLoaderUtils.java:83]- Could not detect default configuration classes for test class [com.liyuehong.weeklyreport.WeeklyReportApplicationTests]: WeeklyReportApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-02-27 15:14:39,396 [main] INFO  -[SpringBootTestContextBootstrapper.java:238]- Found @SpringBootConfiguration com.liyuehong.weeklyreport.WeeklyReportApplication for test class com.liyuehong.weeklyreport.WeeklyReportApplicationTests
2022-02-27 15:14:39,501 [main] INFO  -[AbstractTestContextBootstrapper.java:245]- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-02-27 15:14:39,521 [main] INFO  -[AbstractTestContextBootstrapper.java:174]- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e13529a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ec9bd38, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@452e19ca, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6b0d80ed, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f8e8894, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3cfdd820, org.springframework.test.context.transaction.TransactionalTestExecutionListener@928763c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@e25951c, org.springframework.test.context.event.EventPublishingTestExecutionListener@15f47664, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@471a9022, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@dc9876b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2f666ebb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@19976a65, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@a1f72f5, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4b2c5e02]
2022-02-27 15:14:39,902 [main] INFO  -[StartupInfoLogger.java:55]- Starting WeeklyReportApplicationTests using Java 1.8.0_291 on DESKTOP-AF5B2DF with PID 12796 (started by yhli3 in E:\MyGitHubRepository\WeeklyReport)
2022-02-27 15:14:39,903 [main] DEBUG -[StartupInfoLogger.java:56]- Running with Spring Boot v2.5.3, Spring v5.3.9
2022-02-27 15:14:39,904 [main] INFO  -[SpringApplication.java:659]- No active profile set, falling back to default profiles: default
2022-02-27 15:14:41,086 [main] INFO  -[RepositoryConfigurationDelegate.java:262]- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-27 15:14:41,090 [main] INFO  -[RepositoryConfigurationDelegate.java:132]- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-27 15:14:41,146 [main] INFO  -[RepositoryConfigurationDelegate.java:201]- Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2022-02-27 15:14:41,695 [main] INFO  -[PostProcessorRegistrationDelegate.java:376]- Bean 'redisConfig' of type [com.liyuehong.weeklyreport.configuration.RedisConfig$$EnhancerBySpringCGLIB$$2e8ce925] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-27 15:14:42,452 [main] INFO  -[DruidDataSourceAutoConfigure.java:56]- Init DruidDataSource
2022-02-27 15:14:42,719 [main] INFO  -[DruidDataSource.java:930]- {dataSource-1} inited
2022-02-27 15:14:44,076 [main] INFO  -[EndpointLinksResolver.java:58]- Exposing 1 endpoint(s) beneath base path '/actuator'
2022-02-27 15:14:44,250 [main] INFO  -[RedisConfig.java:113]- 初始化 -> [Redis CacheErrorHandler]
2022-02-27 15:14:44,416 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/js/**'] with []
2022-02-27 15:14:44,417 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/css/**'] with []
2022-02-27 15:14:44,417 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/images/**'] with []
2022-02-27 15:14:44,417 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/swagger-ui.html'] with []
2022-02-27 15:14:44,418 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/webjars/**'] with []
2022-02-27 15:14:44,418 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/v2/**'] with []
2022-02-27 15:14:44,418 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure Ant [pattern='/swagger-resources/**'] with []
2022-02-27 15:14:44,715 [main] INFO  -[PropertySourcedRequestMappingHandlerMapping.java:69]- Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-02-27 15:14:44,846 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b8b2184, org.springframework.security.web.context.SecurityContextPersistenceFilter@727453a3, org.springframework.security.web.header.HeaderWriterFilter@3e39f08c, org.springframework.web.filter.CorsFilter@299a43d9, org.springframework.security.web.authentication.logout.LogoutFilter@1488a861, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3b7b0b57, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57f2e67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37986daf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ccd000e, org.springframework.security.web.session.SessionManagementFilter@598778cc, org.springframework.security.web.access.ExceptionTranslationFilter@26865b57, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69a90b81]
2022-02-27 15:14:46,619 [main] INFO  -[DocumentationPluginsBootstrapper.java:160]- Context refreshed
2022-02-27 15:14:46,648 [main] INFO  -[DocumentationPluginsBootstrapper.java:163]- Found 1 custom documentation plugin(s)
2022-02-27 15:14:46,682 [main] INFO  -[ApiListingReferenceScanner.java:41]- Scanning for api listing references
2022-02-27 15:14:46,785 [main] WARN  -[ParameterDataTypeReader.java:92]- Trying to infer dataType int[]
2022-02-27 15:14:47,442 [main] INFO  -[ScheduledAnnotationBeanPostProcessor.java:309]- No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2022-02-27 15:14:47,453 [main] INFO  -[StartupInfoLogger.java:61]- Started WeeklyReportApplicationTests in 7.885 seconds (JVM running for 9.039)
2022-02-27 15:14:48,032 [SpringApplicationShutdownHook] INFO  -[DruidDataSource.java:1825]- {dataSource-1} closed
